,CellType,annotLevel,p,fold_change,sd_from_mean,q
Exc_L5_6_THEMIS_IL7R,Exc_L5_6_THEMIS_IL7R,2,0,3.06641186843317,12.8739670907334,0
Exc_L4_RORB_BHLHE22,Exc_L4_RORB_BHLHE22,2,0,2.49798660785558,11.6045307549677,0
Exc_L6_THEMIS_EGR3,Exc_L6_THEMIS_EGR3,2,0,2.41498286473901,10.5674444871241,0
Exc_L2_4_RORB_GRIK1,Exc_L2_4_RORB_GRIK1,2,0,2.11465179053736,10.1192460717777,0
Exc_L5_6_THEMIS_GPR21,Exc_L5_6_THEMIS_GPR21,2,0,2.58462110825916,8.97218564823447,0
Exc_L4_5_RORB_RPL31P31,Exc_L4_5_RORB_RPL31P31,2,0,2.00385749487592,8.72083166174787,0
Exc_L4_RORB_CCDC168,Exc_L4_RORB_CCDC168,2,0,2.13570679618551,7.59302452472872,0
Inh_L3_5_SST_MAFB,Inh_L3_5_SST_MAFB,2,0,2.00799027781382,7.46195445094784,0
Exc_L3_5_RORB_CMAHP,Exc_L3_5_RORB_CMAHP,2,0,2.13728278769511,7.41902974483052,0
Inh_L1_SST_CXCL14,Inh_L1_SST_CXCL14,2,0,2.07106699458543,6.9857763604345,0
Exc_L5_6_THEMIS_TMEM233,Exc_L5_6_THEMIS_TMEM233,2,0,1.95864455763509,6.78915111175762,0
Inh_L1_PAX6_CA4,Inh_L1_PAX6_CA4,2,0,2.0906697752016,6.6843580891798,0
Inh_L1_4_LAMP5_DUSP4,Inh_L1_4_LAMP5_DUSP4,2,0,1.92604473391651,6.67851333421976,0
Exc_L6_THEMIS_LINC00343,Exc_L6_THEMIS_LINC00343,2,0,1.74509171053629,6.42613051602573,0
Exc_L4_5_RORB_HNRNPA1P46,Exc_L4_5_RORB_HNRNPA1P46,2,0,1.80168178876414,5.98187050063427,0
Exc_L4_5_RORB_LINC01474,Exc_L4_5_RORB_LINC01474,2,0,1.69451278342968,5.74510767517681,0
Exc_L4_5_RORB_LCN15,Exc_L4_5_RORB_LCN15,2,0,1.65996987950209,5.05679114263864,0
Inh_L1_6_VIP_RGS16,Inh_L1_6_VIP_RGS16,2,1e-04,2.2920873181398,7.38245965315846,0.000631578947368421
Inh_L1_ADARB2_ADAM33,Inh_L1_ADARB2_ADAM33,2,1e-04,2.23857168004845,6.64333290846081,0.000631578947368421
