,CellType,annotLevel,p,fold_change,sd_from_mean,q
GABAergic_LAMP5,GABAergic_LAMP5,1,0.0129,1.53705025047936,2.92125669152587,0.0844333333333333
Glutamatergic_L4_IT,Glutamatergic_L4_IT,1,0.0214,1.47132500142036,2.48120870547409,0.0844333333333333
GABAergic_PAX6,GABAergic_PAX6,1,0.0255,1.49730906281118,2.39442151009699,0.0844333333333333
Glutamatergic_IT,Glutamatergic_IT,1,0.0266,1.37602846938877,2.24471268898211,0.0844333333333333
GABAergic_SST,GABAergic_SST,1,0.0289,1.4444019112837,2.32191120833515,0.0844333333333333
Glutamatergic_L5_6_IT_Car3,Glutamatergic_L5_6_IT_Car3,1,0.0298,1.45024083903521,2.22227978849788,0.0844333333333333
GABAergic_PVALB,GABAergic_PVALB,1,0.0364,1.36691438963503,2.01594337105819,0.0884
Glutamatergic_L5_6_NP,Glutamatergic_L5_6_NP,1,0.0451,1.41605043674406,1.98951151728103,0.0953888888888889
Glutamatergic_L6b,Glutamatergic_L6b,1,0.0505,1.3544949295655,1.78363067480586,0.0953888888888889
Glutamatergic_L6_CT,Glutamatergic_L6_CT,1,0.0648,1.29867446330928,1.58078442575661,0.11016
GABAergic_VIP,GABAergic_VIP,1,0.0778,1.33898182774453,1.56483457865673,0.120236363636364
OPC,OPC,1,0.1205,1.29594383420511,1.1990267407417,0.170708333333333
Glutamatergic_L5_ET,Glutamatergic_L5_ET,1,0.1604,1.20857014423989,0.877792058784679,0.195257142857143
Oligodendrocyte,Oligodendrocyte,1,0.1608,1.27168005533113,0.960101810433916,0.195257142857143
Microglia,Microglia,1,0.2543,1.18289410865894,0.585017401342774,0.288206666666667
Astrocyte,Astrocyte,1,0.3106,1.09848074297689,0.368508384523361,0.3300125
Vascular_cells,Vascular_cells,1,0.3405,1.10235979805693,0.316492341527304,0.3405
