,CellType,annotLevel,p,fold_change,sd_from_mean,q
Exc_L2_4_RORB_GRIK1,Exc_L2_4_RORB_GRIK1,2,0,1.48366743834026,5.19219242092052,0
Exc_L6_THEMIS_EGR3,Exc_L6_THEMIS_EGR3,2,1e-04,1.65341415340765,5.83437745952316,0.004
Exc_L6_THEMIS_LINC00343,Exc_L6_THEMIS_LINC00343,2,1e-04,1.43738037144587,4.61646458366636,0.004
Exc_L4_6_RORB_HPCA,Exc_L4_6_RORB_HPCA,2,2e-04,1.6927061949939,5.60707610619904,0.006
Exc_L4_5_RORB_RPL31P31,Exc_L4_5_RORB_RPL31P31,2,3e-04,1.57049666301235,5.77316470233878,0.0072
Exc_L5_6_THEMIS_TMEM233,Exc_L5_6_THEMIS_TMEM233,2,8e-04,1.44470554617255,4.00954027873736,0.016
Exc_L3_4_RORB_SEMA6D,Exc_L3_4_RORB_SEMA6D,2,0.0012,1.38837770988262,3.72060003767676,0.0205714285714286
Exc_L4_5_RORB_LINC01474,Exc_L4_5_RORB_LINC01474,2,0.0019,1.47044205954436,4.22208212468574,0.0285
Inh_L2_4_PVALB_C8orf4,Inh_L2_4_PVALB_C8orf4,2,0.0023,1.37342242957924,3.49451314530014,0.0288
Inh_L1_4_LAMP5_DUSP4,Inh_L1_4_LAMP5_DUSP4,2,0.0024,1.48025075337999,3.82280857979657,0.0288
Exc_L2_3_LINC00507_RPL9P17,Exc_L2_3_LINC00507_RPL9P17,2,0.0042,1.42448693271549,3.8027513180636,0.0445714285714286
Inh_L1_PAX6_CA4,Inh_L1_PAX6_CA4,2,0.0048,1.46907739944403,3.41200364963911,0.0445714285714286
Inh_L3_5_SST_MAFB,Inh_L3_5_SST_MAFB,2,0.0049,1.43664851450078,3.68869779129253,0.0445714285714286
Exc_L4_RORB_BHLHE22,Exc_L4_RORB_BHLHE22,2,0.0052,1.53377643336204,4.11258760175943,0.0445714285714286
Exc_L4_5_RORB_LCN15,Exc_L4_5_RORB_LCN15,2,0.0063,1.3209260095863,3.08972044285935,0.0486315789473684
Exc_L5_6_THEMIS_GPR21,Exc_L5_6_THEMIS_GPR21,2,0.0065,1.43141025161744,3.19687790229585,0.0486315789473684
Inh_L3_4_PVALB_HOMER3,Inh_L3_4_PVALB_HOMER3,2,0.007,1.44704254795171,3.50018386999311,0.0486315789473684
Inh_L1_LAMP5_NDNF,Inh_L1_LAMP5_NDNF,2,0.0077,1.44000465268792,3.33559633181476,0.0486315789473684
Inh_L1_SST_CXCL14,Inh_L1_SST_CXCL14,2,0.0077,1.42236030075372,3.16924146465061,0.0486315789473684
Inh_L1_3_VIP_ZNF322P1,Inh_L1_3_VIP_ZNF322P1,2,0.0082,1.36903440214747,3.01208616492267,0.0492
Inh_L4_6_SST_MTHFD2P6,Inh_L4_6_SST_MTHFD2P6,2,0.0092,1.35722047596669,2.96061935027987,0.0495652173913043
Exc_L4_RORB_CCDC168,Exc_L4_RORB_CCDC168,2,0.0093,1.4141382466862,3.04125587120673,0.0495652173913043
Exc_L5_RORB_SNHG7,Exc_L5_RORB_SNHG7,2,0.0095,1.28986727360574,2.73339962042758,0.0495652173913043
Inh_L1_6_VIP_RGS16,Inh_L1_6_VIP_RGS16,2,0.01,1.49801847298288,3.44773743036367,0.05
Inh_L6_LAMP5_C1QL2,Inh_L6_LAMP5_C1QL2,2,0.0105,1.5953874134169,3.30242475100165,0.0504
Exc_L3_LINC00507_PSRC1,Exc_L3_LINC00507_PSRC1,2,0.0122,1.37672533354843,2.84759988467566,0.0563076923076923
Exc_L4_5_RORB_HNRNPA1P46,Exc_L4_5_RORB_HNRNPA1P46,2,0.0134,1.45889381292333,3.20654068989969,0.0571764705882353
Exc_L5_6_RORB_LINC00320,Exc_L5_6_RORB_LINC00320,2,0.0138,1.33295613075392,2.66910479793769,0.0571764705882353
Exc_L3_4_RORB_PRSS12,Exc_L3_4_RORB_PRSS12,2,0.014,1.29356090704189,2.68697345772786,0.0571764705882353
Exc_L3_5_RORB_CMAHP,Exc_L3_5_RORB_CMAHP,2,0.0151,1.46006841269846,3.17818602812424,0.0571764705882353
Exc_L3_5_THEMIS_ELOF1,Exc_L3_5_THEMIS_ELOF1,2,0.0156,1.39718565268267,2.87551195478828,0.0571764705882353
Inh_L6_LAMP5_ANKRD20A11P,Inh_L6_LAMP5_ANKRD20A11P,2,0.0159,1.75663610237143,2.95277620172688,0.0571764705882353
Inh_L4_5_PVALB_TRIM67,Inh_L4_5_PVALB_TRIM67,2,0.0161,1.46695053927568,2.72941997423109,0.0571764705882353
Inh_L5_6_LAMP5_SFTA3,Inh_L5_6_LAMP5_SFTA3,2,0.0162,1.44021420196156,2.92720432385204,0.0571764705882353
Exc_L6_FEZF2_FAM95C,Exc_L6_FEZF2_FAM95C,2,0.0176,1.28678656134747,2.45451780333269,0.0580540540540541
Exc_L5_6_THEMIS_OR1J1,Exc_L5_6_THEMIS_OR1J1,2,0.0177,1.46743765178652,2.15422925359058,0.0580540540540541
Exc_L5_RORB_LINC01202,Exc_L5_RORB_LINC01202,2,0.0179,1.42723469232715,2.92888986861097,0.0580540540540541
Exc_L3_LINC00507_CTXN3,Exc_L3_LINC00507_CTXN3,2,0.0191,1.32968200415262,2.40222128646412,0.0603157894736842
Exc_L3_4_RORB_RPS3P6,Exc_L3_4_RORB_RPS3P6,2,0.0198,1.44155113916387,2.74311682258776,0.0609230769230769
Inh_L5_PVALB_CNTNAP3P2,Inh_L5_PVALB_CNTNAP3P2,2,0.0214,1.32493351710488,2.38181247762674,0.0642
Inh_L3_VIP_CBLN1,Inh_L3_VIP_CBLN1,2,0.0223,1.39694002438929,2.30032085605374,0.0648510638297872
Inh_L1_6_LAMP5_CA13,Inh_L1_6_LAMP5_CA13,2,0.0227,1.41807198536594,2.767290633083,0.0648510638297872
Exc_L3_4_RORB_FOLH1B,Exc_L3_4_RORB_FOLH1B,2,0.0243,1.25697657284486,2.19357250746532,0.0648510638297872
Inh_L2_6_VIP_VIP,Inh_L2_6_VIP_VIP,2,0.0245,1.34629317713807,2.33972552642115,0.0648510638297872
Exc_L5_6_THEMIS_IL7R,Exc_L5_6_THEMIS_IL7R,2,0.0247,1.42197453028585,2.51131711123877,0.0648510638297872
Inh_L5_6_PVALB_STON2,Inh_L5_6_PVALB_STON2,2,0.0251,1.29060370978071,2.27065240921206,0.0648510638297872
Exc_L3_RORB_CARTPT,Exc_L3_RORB_CARTPT,2,0.0254,1.29482851249281,2.32754544599419,0.0648510638297872
Exc_L6_FEZF2_VWA2,Exc_L6_FEZF2_VWA2,2,0.0262,1.34755095050022,1.83650873078176,0.0655
Exc_L3_5_RORB_HSPB3,Exc_L3_5_RORB_HSPB3,2,0.0325,1.33938161106819,1.92267114621332,0.0769285714285714
Inh_L2_4_SST_AHR,Inh_L2_4_SST_AHR,2,0.0326,1.42162132537061,2.36203132121747,0.0769285714285714
Inh_L1_VIP_PRSS8,Inh_L1_VIP_PRSS8,2,0.0344,1.40561732289791,1.96555846671642,0.0769285714285714
Inh_L1_3_PVALB_WFDC2,Inh_L1_3_PVALB_WFDC2,2,0.0351,1.30892347150968,1.4109693881586,0.0769285714285714
Exc_L5_6_FEZF2_ANKRD20A1,Exc_L5_6_FEZF2_ANKRD20A1,2,0.0354,1.28106917025642,2.11975659060038,0.0769285714285714
Inh_L1_3_VIP_GGH,Inh_L1_3_VIP_GGH,2,0.0357,1.45035941082095,2.24622292987224,0.0769285714285714
Inh_L2_5_VIP_TOX2,Inh_L2_5_VIP_TOX2,2,0.0357,1.29927542723905,2.08512483004836,0.0769285714285714
Inh_L1_3_VIP_CCDC184,Inh_L1_3_VIP_CCDC184,2,0.0359,1.41881850527378,2.00424708574432,0.0769285714285714
Inh_L5_6_SST_ISOC1,Inh_L5_6_SST_ISOC1,2,0.0371,1.36358024324604,1.83614197563853,0.0775862068965517
Inh_L1_ADARB2_ADAM33,Inh_L1_ADARB2_ADAM33,2,0.0375,1.35258445766083,2.20774658156896,0.0775862068965517
Inh_L1_VIP_PCDH20,Inh_L1_VIP_PCDH20,2,0.0383,1.3797744639269,2.08476103981188,0.0776
Inh_L1_LAMP5_GGT8P,Inh_L1_LAMP5_GGT8P,2,0.0388,1.41135632143261,1.95442103493538,0.0776
Exc_L6_FEZF2_ETV4,Exc_L6_FEZF2_ETV4,2,0.04,1.28445212494683,1.65957719676999,0.0786885245901639
Inh_L1_3_PAX6_NABP1,Inh_L1_3_PAX6_NABP1,2,0.0439,1.35013288494102,1.72849318021589,0.084
Exc_L4_5_RORB_AIM2,Exc_L4_5_RORB_AIM2,2,0.0441,1.4665136590875,2.02059362862846,0.084
Inh_L1_5_VIP_KCNJ2,Inh_L1_5_VIP_KCNJ2,2,0.0451,1.32716530878833,1.34272298620695,0.0841714285714286
Inh_L2_4_VIP_LGI2,Inh_L2_4_VIP_LGI2,2,0.048,1.37255171149248,1.90167174618952,0.0841714285714286
Exc_L6_FEZF2_KRT17,Exc_L6_FEZF2_KRT17,2,0.048,1.25899587675964,1.75764294907723,0.0841714285714286
Exc_L3_5_LINC00507_SLN,Exc_L3_5_LINC00507_SLN,2,0.0481,1.36993177216504,1.50389626755633,0.0841714285714286
Inh_L1_3_VIP_SSTR1,Inh_L1_3_VIP_SSTR1,2,0.0484,1.29420582408777,1.35643128834142,0.0841714285714286
Inh_L1_3_VIP_ACHE,Inh_L1_3_VIP_ACHE,2,0.0488,1.30401251484521,1.71336762813658,0.0841714285714286
Inh_L1_4_VIP_CHRNA2,Inh_L1_4_VIP_CHRNA2,2,0.0491,1.37309880507225,1.61478845690267,0.0841714285714286
Inh_L3_6_PVALB_MFI2,Inh_L3_6_PVALB_MFI2,2,0.051,1.40268086196583,1.78418812187132,0.0849
Inh_L3_6_VIP_KCTD13,Inh_L3_6_VIP_KCTD13,2,0.0541,1.35141842648898,1.60858645429121,0.0849
Exc_L6_FEZF2_CPZ,Exc_L6_FEZF2_CPZ,2,0.0542,1.22998166981036,1.74336122351689,0.0849
