"","CellType","annotLevel","p","fold_change","sd_from_mean","q","MajorCellType","testList"
"Exc_L2_4_RORB_GRIK1","Exc_L2_4_RORB_GRIK1",2,0,1.48404053281027,5.24790598606202,0,"Exc","Telomere Length"
"Exc_L6_THEMIS_LINC00343","Exc_L6_THEMIS_LINC00343",2,1e-04,1.43934506651554,4.62774678516975,0.006,"Exc","Telomere Length"
"Exc_L6_THEMIS_EGR3","Exc_L6_THEMIS_EGR3",2,2e-04,1.6557809509177,5.79404670525321,0.008,"Exc","Telomere Length"
"Exc_L4_5_RORB_RPL31P31","Exc_L4_5_RORB_RPL31P31",2,4e-04,1.57152618170735,5.80507503255588,0.012,"Exc","Telomere Length"
"Exc_L4_6_RORB_HPCA","Exc_L4_6_RORB_HPCA",2,5e-04,1.6969528234379,5.74603642991305,0.012,"Exc","Telomere Length"
"Exc_L3_4_RORB_SEMA6D","Exc_L3_4_RORB_SEMA6D",2,0.0013,1.38637057969574,3.69635704358502,0.026,"Exc","Telomere Length"
"Exc_L5_6_THEMIS_TMEM233","Exc_L5_6_THEMIS_TMEM233",2,0.0018,1.44546278755889,3.97923251078602,0.0308571428571429,"Exc","Telomere Length"
"Inh_L2_4_PVALB_C8orf4","Inh_L2_4_PVALB_C8orf4",2,0.0024,1.37065307385995,3.52356939338885,0.036,"Inh","Telomere Length"
"Exc_L4_5_RORB_LINC01474","Exc_L4_5_RORB_LINC01474",2,0.0028,1.47152843896922,4.25319116771061,0.0373333333333333,"Exc","Telomere Length"
"Inh_L1_4_LAMP5_DUSP4","Inh_L1_4_LAMP5_DUSP4",2,0.0034,1.47610091900812,3.71447926946181,0.0408,"Inh","Telomere Length"
"Inh_L3_5_SST_MAFB","Inh_L3_5_SST_MAFB",2,0.004,1.43565603847599,3.69772185457513,0.0436363636363636,"Inh","Telomere Length"
"Exc_L4_5_RORB_LCN15","Exc_L4_5_RORB_LCN15",2,0.0047,1.32045054950159,3.11857918346837,0.047,"Exc","Telomere Length"
"Exc_L2_3_LINC00507_RPL9P17","Exc_L2_3_LINC00507_RPL9P17",2,0.0051,1.42538495033992,3.75102312226964,0.0470769230769231,"Exc","Telomere Length"
"Inh_L1_PAX6_CA4","Inh_L1_PAX6_CA4",2,0.006,1.4700969095921,3.41649166720528,0.0495,"Inh","Telomere Length"
"Exc_L5_6_THEMIS_GPR21","Exc_L5_6_THEMIS_GPR21",2,0.0062,1.4331615456864,3.21799694675335,0.0495,"Exc","Telomere Length"
"Exc_L4_RORB_BHLHE22","Exc_L4_RORB_BHLHE22",2,0.0066,1.53403689884106,4.0085862148958,0.0495,"Exc","Telomere Length"
"Inh_L3_4_PVALB_HOMER3","Inh_L3_4_PVALB_HOMER3",2,0.0074,1.44603295172511,3.5267421533341,0.0506086956521739,"Inh","Telomere Length"
"Exc_L5_RORB_SNHG7","Exc_L5_RORB_SNHG7",2,0.008,1.29077756147574,2.76995187528406,0.0506086956521739,"Exc","Telomere Length"
"Inh_L1_3_VIP_ZNF322P1","Inh_L1_3_VIP_ZNF322P1",2,0.0082,1.36656669996453,2.99969332305464,0.0506086956521739,"Inh","Telomere Length"
"Inh_L1_LAMP5_NDNF","Inh_L1_LAMP5_NDNF",2,0.0088,1.43939607360993,3.30770247817181,0.0506086956521739,"Inh","Telomere Length"
"Exc_L4_RORB_CCDC168","Exc_L4_RORB_CCDC168",2,0.009,1.41228898647408,3.06199236312373,0.0506086956521739,"Exc","Telomere Length"
"Inh_L6_LAMP5_C1QL2","Inh_L6_LAMP5_C1QL2",2,0.0094,1.59491238049008,3.35363029823521,0.0506086956521739,"Inh","Telomere Length"
"Inh_L1_SST_CXCL14","Inh_L1_SST_CXCL14",2,0.0097,1.41936165054883,3.10885570095832,0.0506086956521739,"Inh","Telomere Length"
"Inh_L4_6_SST_MTHFD2P6","Inh_L4_6_SST_MTHFD2P6",2,0.0106,1.35739774553545,2.95753359875318,0.05232,"Inh","Telomere Length"
"Inh_L1_6_VIP_RGS16","Inh_L1_6_VIP_RGS16",2,0.0109,1.49873602292275,3.41084191541327,0.05232,"Inh","Telomere Length"
"Inh_L5_6_LAMP5_SFTA3","Inh_L5_6_LAMP5_SFTA3",2,0.0122,1.4396088397308,3.04776627082136,0.056,"Inh","Telomere Length"
"Exc_L3_LINC00507_PSRC1","Exc_L3_LINC00507_PSRC1",2,0.0127,1.37532091704251,2.77474568369957,0.056,"Exc","Telomere Length"
"Inh_L6_LAMP5_ANKRD20A11P","Inh_L6_LAMP5_ANKRD20A11P",2,0.014,1.76216018462416,2.94063503860051,0.056,"Inh","Telomere Length"
"Exc_L4_5_RORB_HNRNPA1P46","Exc_L4_5_RORB_HNRNPA1P46",2,0.0142,1.45985575087863,3.20820254263617,0.056,"Exc","Telomere Length"
"Inh_L4_5_PVALB_TRIM67","Inh_L4_5_PVALB_TRIM67",2,0.0145,1.46784529075642,2.7396125751103,0.056,"Inh","Telomere Length"
"Exc_L3_5_THEMIS_ELOF1","Exc_L3_5_THEMIS_ELOF1",2,0.0149,1.40051401850058,2.97543321555908,0.056,"Exc","Telomere Length"
"Exc_L3_4_RORB_PRSS12","Exc_L3_4_RORB_PRSS12",2,0.0151,1.28959009261202,2.62524927350973,0.056,"Exc","Telomere Length"
"Exc_L3_5_RORB_CMAHP","Exc_L3_5_RORB_CMAHP",2,0.0154,1.459167354681,3.16836273572971,0.056,"Exc","Telomere Length"
"Exc_L6_FEZF2_FAM95C","Exc_L6_FEZF2_FAM95C",2,0.0168,1.29087675200899,2.53773173123215,0.0564324324324324,"Exc","Telomere Length"
"Exc_L5_RORB_LINC01202","Exc_L5_RORB_LINC01202",2,0.0173,1.43068073670434,2.96176749642007,0.0564324324324324,"Exc","Telomere Length"
"Exc_L5_6_RORB_LINC00320","Exc_L5_6_RORB_LINC00320",2,0.0174,1.33319460229182,2.60186334952699,0.0564324324324324,"Exc","Telomere Length"
"Exc_L5_6_THEMIS_OR1J1","Exc_L5_6_THEMIS_OR1J1",2,0.0174,1.46857435704176,2.21681686969389,0.0564324324324324,"Exc","Telomere Length"
"Exc_L3_LINC00507_CTXN3","Exc_L3_LINC00507_CTXN3",2,0.0188,1.33162423090414,2.43418515303405,0.0584615384615385,"Exc","Telomere Length"
"Inh_L1_6_LAMP5_CA13","Inh_L1_6_LAMP5_CA13",2,0.019,1.42132198848911,2.86986454010181,0.0584615384615385,"Inh","Telomere Length"
"Exc_L3_4_RORB_RPS3P6","Exc_L3_4_RORB_RPS3P6",2,0.0202,1.43751231692199,2.69347682782439,0.0606,"Exc","Telomere Length"
"Exc_L5_6_THEMIS_IL7R","Exc_L5_6_THEMIS_IL7R",2,0.0235,1.42594708121686,2.60388894846221,0.0669767441860465,"Exc","Telomere Length"
"Inh_L3_VIP_CBLN1","Inh_L3_VIP_CBLN1",2,0.0238,1.39018410171607,2.23578758281167,0.0669767441860465,"Inh","Telomere Length"
"Inh_L5_PVALB_CNTNAP3P2","Inh_L5_PVALB_CNTNAP3P2",2,0.024,1.32458473844782,2.38142557563889,0.0669767441860465,"Inh","Telomere Length"
"Exc_L3_RORB_CARTPT","Exc_L3_RORB_CARTPT",2,0.0257,1.29224699016502,2.27916599518609,0.06825,"Exc","Telomere Length"
"Inh_L2_6_VIP_VIP","Inh_L2_6_VIP_VIP",2,0.0262,1.34612276190456,2.32549567614661,0.06825,"Inh","Telomere Length"
"Exc_L3_4_RORB_FOLH1B","Exc_L3_4_RORB_FOLH1B",2,0.0262,1.2562723577257,2.1492969552267,0.06825,"Exc","Telomere Length"
"Exc_L6_FEZF2_VWA2","Exc_L6_FEZF2_VWA2",2,0.0271,1.34936227447628,1.83039573510246,0.06825,"Exc","Telomere Length"
"Inh_L5_6_PVALB_STON2","Inh_L5_6_PVALB_STON2",2,0.0273,1.29055289649281,2.28629851827114,0.06825,"Inh","Telomere Length"
"Inh_L2_4_SST_AHR","Inh_L2_4_SST_AHR",2,0.0304,1.41743747530175,2.26942663688261,0.0733584905660377,"Inh","Telomere Length"
"Exc_L5_6_FEZF2_ANKRD20A1","Exc_L5_6_FEZF2_ANKRD20A1",2,0.0308,1.2868280851865,2.17854242402799,0.0733584905660377,"Exc","Telomere Length"
"Inh_L1_3_VIP_GGH","Inh_L1_3_VIP_GGH",2,0.0317,1.44912213526715,2.29109360553245,0.0733584905660377,"Inh","Telomere Length"
"Inh_L1_VIP_PCDH20","Inh_L1_VIP_PCDH20",2,0.0322,1.38317132542256,2.16166084837809,0.0733584905660377,"Inh","Telomere Length"
"Inh_L1_VIP_PRSS8","Inh_L1_VIP_PRSS8",2,0.0324,1.40709147521219,2.07785416379069,0.0733584905660377,"Inh","Telomere Length"
"Exc_L3_5_RORB_HSPB3","Exc_L3_5_RORB_HSPB3",2,0.0342,1.33227341404113,1.88384452531117,0.0757090909090909,"Exc","Telomere Length"
"Inh_L1_3_VIP_CCDC184","Inh_L1_3_VIP_CCDC184",2,0.0347,1.41733917620827,1.98032354414822,0.0757090909090909,"Inh","Telomere Length"
"Inh_L5_6_SST_ISOC1","Inh_L5_6_SST_ISOC1",2,0.0357,1.36654216339066,1.87470814857722,0.0765,"Inh","Telomere Length"
"Inh_L2_5_VIP_TOX2","Inh_L2_5_VIP_TOX2",2,0.0365,1.2959188504652,2.04572500024755,0.0768421052631579,"Inh","Telomere Length"
"Inh_L1_LAMP5_GGT8P","Inh_L1_LAMP5_GGT8P",2,0.0375,1.41480702778817,1.96814056992132,0.0768813559322034,"Inh","Telomere Length"
"Inh_L1_ADARB2_ADAM33","Inh_L1_ADARB2_ADAM33",2,0.0378,1.34896596447099,2.17878213345814,0.0768813559322034,"Inh","Telomere Length"
"Inh_L1_3_PVALB_WFDC2","Inh_L1_3_PVALB_WFDC2",2,0.0398,1.30293440891627,1.32978179265617,0.0796,"Inh","Telomere Length"
"Inh_L1_3_PAX6_NABP1","Inh_L1_3_PAX6_NABP1",2,0.0419,1.34857904510322,1.71159926872415,0.0824262295081967,"Inh","Telomere Length"
"Exc_L6_FEZF2_ETV4","Exc_L6_FEZF2_ETV4",2,0.0446,1.28140817948904,1.57282321626329,0.0845,"Exc","Telomere Length"
"Inh_L1_5_VIP_KCNJ2","Inh_L1_5_VIP_KCNJ2",2,0.0449,1.32968375762431,1.40089019211197,0.0845,"Inh","Telomere Length"
"Exc_L3_5_LINC00507_SLN","Exc_L3_5_LINC00507_SLN",2,0.0461,1.37247823431847,1.60862863506342,0.0845,"Exc","Telomere Length"
"Exc_L6_FEZF2_KRT17","Exc_L6_FEZF2_KRT17",2,0.047,1.25731811109764,1.78329181302449,0.0845,"Exc","Telomere Length"
"Exc_L6_FEZF2_CPZ","Exc_L6_FEZF2_CPZ",2,0.0481,1.23704124853546,1.8130385576986,0.0845,"Exc","Telomere Length"
"Inh_L1_4_VIP_CHRNA2","Inh_L1_4_VIP_CHRNA2",2,0.0486,1.37290955599762,1.61942600441092,0.0845,"Inh","Telomere Length"
"Inh_L1_3_VIP_ACHE","Inh_L1_3_VIP_ACHE",2,0.0488,1.30311150033978,1.74066146024291,0.0845,"Inh","Telomere Length"
"Inh_L1_3_VIP_SSTR1","Inh_L1_3_VIP_SSTR1",2,0.0489,1.28962762002094,1.32210249257199,0.0845,"Inh","Telomere Length"
