"","CellType","annotLevel","p","fold_change","sd_from_mean","q","MajorCellType","testList"
"GABAergic_LAMP5","GABAergic_LAMP5",1,0.0129,1.53705025047936,2.92125669152587,0.0844333333333333,"GABAergic","Spliceosome"
"Glutamatergic_L4_IT","Glutamatergic_L4_IT",1,0.0214,1.47132500142036,2.48120870547409,0.0844333333333333,"Glutamatergic","Spliceosome"
"GABAergic_PAX6","GABAergic_PAX6",1,0.0255,1.49730906281118,2.39442151009699,0.0844333333333333,"GABAergic","Spliceosome"
"Glutamatergic_IT","Glutamatergic_IT",1,0.0266,1.37602846938877,2.24471268898211,0.0844333333333333,"Glutamatergic","Spliceosome"
"GABAergic_SST","GABAergic_SST",1,0.0289,1.4444019112837,2.32191120833515,0.0844333333333333,"GABAergic","Spliceosome"
"Glutamatergic_L5_6_IT_Car3","Glutamatergic_L5_6_IT_Car3",1,0.0298,1.45024083903521,2.22227978849788,0.0844333333333333,"Glutamatergic","Spliceosome"
"GABAergic_PVALB","GABAergic_PVALB",1,0.0364,1.36691438963503,2.01594337105819,0.0884,"GABAergic","Spliceosome"
"Glutamatergic_L5_6_NP","Glutamatergic_L5_6_NP",1,0.0451,1.41605043674406,1.98951151728103,0.0953888888888889,"Glutamatergic","Spliceosome"
"Glutamatergic_L6b","Glutamatergic_L6b",1,0.0505,1.3544949295655,1.78363067480586,0.0953888888888889,"Glutamatergic","Spliceosome"
"Glutamatergic_L6_CT","Glutamatergic_L6_CT",1,0.0648,1.29867446330928,1.58078442575661,0.11016,"Glutamatergic","Spliceosome"
"GABAergic_VIP","GABAergic_VIP",1,0.0778,1.33898182774453,1.56483457865673,0.120236363636364,"GABAergic","Spliceosome"
"OPC","OPC",1,0.1205,1.29594383420511,1.1990267407417,0.170708333333333,"OPC","Spliceosome"
"Glutamatergic_L5_ET","Glutamatergic_L5_ET",1,0.1604,1.20857014423989,0.877792058784679,0.195257142857143,"Glutamatergic","Spliceosome"
"Oligodendrocyte","Oligodendrocyte",1,0.1608,1.27168005533113,0.960101810433916,0.195257142857143,"Oligodendrocyte","Spliceosome"
"Microglia","Microglia",1,0.2543,1.18289410865894,0.585017401342774,0.288206666666667,"Microglia","Spliceosome"
"Astrocyte","Astrocyte",1,0.3106,1.09848074297689,0.368508384523361,0.3300125,"Astrocyte","Spliceosome"
"Vascular_cells","Vascular_cells",1,0.3405,1.10235979805693,0.316492341527304,0.3405,"Vascular","Spliceosome"
"Glutamatergic_IT1","Glutamatergic_IT",1,0.0011,1.37512217866581,3.75562285601524,0.0107666666666667,"Glutamatergic","Splicing regulation"
"GABAergic_LAMP51","GABAergic_LAMP5",1,0.0013,1.40289336180839,3.70758492956259,0.0107666666666667,"GABAergic","Splicing regulation"
"Glutamatergic_L4_IT1","Glutamatergic_L4_IT",1,0.0019,1.43119519965493,3.75632154608469,0.0107666666666667,"Glutamatergic","Splicing regulation"
"Glutamatergic_L5_6_IT_Car31","Glutamatergic_L5_6_IT_Car3",1,0.0046,1.38467422892218,3.06838639157056,0.01955,"Glutamatergic","Splicing regulation"
"GABAergic_PAX61","GABAergic_PAX6",1,0.0069,1.36346911448046,2.95947415834906,0.02346,"GABAergic","Splicing regulation"
"GABAergic_SST1","GABAergic_SST",1,0.0087,1.33072939035235,2.95219842704815,0.02465,"GABAergic","Splicing regulation"
"Glutamatergic_L6_CT1","Glutamatergic_L6_CT",1,0.0105,1.27874893068225,2.65481159974822,0.0255,"Glutamatergic","Splicing regulation"
"GABAergic_PVALB1","GABAergic_PVALB",1,0.0143,1.27615016703738,2.49222767864135,0.0303875,"GABAergic","Splicing regulation"
"OPC1","OPC",1,0.017,1.34606495968017,2.38795776469991,0.0321111111111111,"OPC","Splicing regulation"
"Glutamatergic_L5_6_NP1","Glutamatergic_L5_6_NP",1,0.0299,1.28944706765546,2.16728311973293,0.05083,"Glutamatergic","Splicing regulation"
"Microglia1","Microglia",1,0.0372,1.36415111400495,1.93484578389891,0.0574909090909091,"Microglia","Splicing regulation"
"GABAergic_VIP1","GABAergic_VIP",1,0.0479,1.22827778621147,1.82724191184867,0.0615642857142857,"GABAergic","Splicing regulation"
"Glutamatergic_L6b1","Glutamatergic_L6b",1,0.0505,1.22240258365924,1.79867291896555,0.0615642857142857,"Glutamatergic","Splicing regulation"
"Oligodendrocyte1","Oligodendrocyte",1,0.0507,1.29663255708054,1.76178441596302,0.0615642857142857,"Oligodendrocyte","Splicing regulation"
"Vascular_cells1","Vascular_cells",1,0.1444,1.20968682638378,1.05815697996028,0.163653333333333,"Vascular","Splicing regulation"
"Glutamatergic_L5_ET1","Glutamatergic_L5_ET",1,0.2117,1.10690142095461,0.741488409624403,0.22493125,"Glutamatergic","Splicing regulation"
"Astrocyte1","Astrocyte",1,0.2252,1.11244966399373,0.708259817135774,0.2252,"Astrocyte","Splicing regulation"
